farm_id,date,month,year,data_type,data_source,s2_count,modis_count,s1_count,NDVI,EVI,SAVI,LAI,VV,VH
F001,2024-01-15,1,2024,vegetation,Sentinel-2,12,2,0,0.7417281270027161,0.49483463477560247,0.45091804623019305,2.225184202194214,,
F001,2024-02-15,2,2024,vegetation,Sentinel-2,11,2,0,0.6600249409675598,0.42289746756317736,0.3980144269602357,1.9800747632980347,,
F001,2024-03-15,3,2024,vegetation,Sentinel-2,13,2,0,0.5900545716285706,0.3707149759594281,0.33601961053407686,1.7701637744903564,,
F001,2024-04-15,4,2024,vegetation,Sentinel-2,10,2,0,0.5687686204910278,0.3700536548458476,0.355543418552161,1.7063058614730835,,
F001,2024-05-15,5,2024,vegetation,Sentinel-2,7,2,0,0.44496122002601624,0.36830448808781213,0.1714542201812318,1.334883689880371,,
F001,2024-06-15,6,2024,vegetation,Sentinel-2,5,2,0,0.272323876619339,0.6903932930315801,0.24123811226055647,0.8169716596603394,,
F001,2024-06-15,6,2024,soil_moisture,Sentinel-1,0,0,3,,,,,-6.313687173213294,-13.886732776307065
F001,2024-07-15,7,2024,vegetation,MODIS,0,2,0,4838.0,3807.5,0.8257000000000001,1.4514,,
F001,2024-07-15,7,2024,soil_moisture,Sentinel-1,0,0,2,,,,,-3.768813635020666,-11.531602610837648
F001,2024-08-15,8,2024,vegetation,Sentinel-2,6,2,0,0.7540338635444641,0.6531437477215114,0.5301526467817911,2.262101650238037,,
F001,2024-08-15,8,2024,soil_moisture,Sentinel-1,0,0,3,,,,,-5.094916658146799,-13.995734168484946
F001,2024-09-15,9,2024,vegetation,Sentinel-2,10,2,0,0.253767192363739,0.5191611473524018,0.18949914090294614,0.761301577091217,,
F001,2024-09-15,9,2024,soil_moisture,Sentinel-1,0,0,3,,,,,-7.5982403958530895,-13.002934141618619
F001,2024-10-15,10,2024,vegetation,Sentinel-2,8,2,0,0.8192373514175415,0.6954277882140888,0.5797406457948007,2.457711935043335,,
F001,2024-10-15,10,2024,soil_moisture,Sentinel-1,0,0,2,,,,,-5.83078436948312,-14.410240518683239
F001,2024-11-15,11,2024,vegetation,Sentinel-2,10,1,0,0.7785254120826721,0.6581669660259414,0.5317576378950086,2.335576295852661,,
F001,2024-11-15,11,2024,soil_moisture,Sentinel-1,0,0,3,,,,,-7.251290284481168,-15.512228284254668
F001,2024-12-15,12,2024,vegetation,Sentinel-2,12,2,0,0.8553173542022705,0.5831876754175854,0.5306733156188203,2.5659520626068115,,
